_id,action,createdAt,details,targetId,targetType,userId
6984ad3c7849100ffea2fc7d,APPROVE_LEAVE,2026-02-05 14:46:20.703000,Approved leave for manager,6984acec7849100ffea2fc7b,LeaveRequest,6977294f0c6001df4bf44c9a
69b2c16e3a1ec08adba19b2e,APPROVE_LEAVE,2026-03-12 13:36:46.155000,Approved leave for employee,697b7f60d405e81ed60aff7d,LeaveRequest,6977294f0c6001df4bf44c9a
69b2c4733a1ec08adba19b30,APPROVE_LEAVE,2026-03-12 13:49:39.468000,Approved leave for employee,697e189fe93e4270190207b9,LeaveRequest,697f4b0253061dbd6d878dec
69b31a7f6278a76ae9efd7a0,REJECT_LEAVE,2026-03-12 19:56:47.877000,Rejected leave for test. Reason: ,69b319616278a76ae9efd79d,LeaveRequest,6977294f0c6001df4bf44c9a
69b31ebf6278a76ae9efd7a6,CREATE_LEAVE,2026-03-12 20:14:55.446000,Created leave request for Sick Leave,69b31ebf6278a76ae9efd7a5,LeaveRequest,69b316446278a76ae9efd78d
69b31f5e6278a76ae9efd7a8,CREATE_LEAVE,2026-03-12 20:17:34.822000,Created leave request for Sick Leave,69b31f5e6278a76ae9efd7a7,LeaveRequest,69b316446278a76ae9efd78d
69b31f7a6278a76ae9efd7aa,REJECT_LEAVE,2026-03-12 20:18:02.419000,Rejected leave for test. Reason: ,69b31f5e6278a76ae9efd7a7,LeaveRequest,6977294f0c6001df4bf44c9a
69b324e06278a76ae9efd7b6,REJECT_LEAVE,2026-03-12 20:41:04.826000,Rejected leave for test. Reason: ไม่แนบไฟล์มา,69b324b96278a76ae9efd7b3,LeaveRequest,6977294f0c6001df4bf44c9a
69b32f0d6278a76ae9efd7bb,CREATE_LEAVE,2026-03-12 21:24:29.315000,Created leave request for Annual Leave,69b32f0d6278a76ae9efd7ba,LeaveRequest,69b316446278a76ae9efd78d
69b32f8f6278a76ae9efd7bd,APPROVE_LEAVE,2026-03-12 21:26:39.885000,Approved leave for test,69b32f0d6278a76ae9efd7ba,LeaveRequest,6977294f0c6001df4bf44c9a
69b32ff36278a76ae9efd7bf,CREATE_LEAVE,2026-03-12 21:28:19.047000,Created leave request for Annual Leave,69b32ff36278a76ae9efd7be,LeaveRequest,69b316446278a76ae9efd78d
69b3305e6278a76ae9efd7c1,CREATE_LEAVE,2026-03-12 21:30:06.547000,Created leave request for Annual Leave,69b3305e6278a76ae9efd7c0,LeaveRequest,69b316446278a76ae9efd78d
